Index;Element;X;Y;Z;FragmentID
1107;H;105.50604909740424;109.44918310532536;95.37733940921478;32
1108;H;104.94934926183703;108.64088010477477;96.85754386796938;32
1109;C;105.67055674165914;110.53549559491553;98.29895251371609;32
1110;H;107.14979303277559;110.62274781656257;96.8755610170829;32
1111;O;112.87382011711111;104.11111516518139;98.38225548578093;31
1112;C;106.2907600466725;111.68900773761574;99.05708069703627;32
1113;C;107.02909297278703;111.15115193860599;100.29120934877176;32
1114;H;106.97460172240638;112.25256313589624;98.4252660191342;32
1115;H;105.48738135793305;112.3483299832474;99.38866461235065;32
1116;C;108.43925085918352;110.67482667796551;99.93866307948842;32
1117;H;107.07172638694168;111.93624941106675;101.0460006674582;32
1118;H;106.4483598829621;110.3246291675315;100.7101601799273;32
1119;C;108.96515865852508;109.62062012439623;100.90998460253905;32
1120;H;108.42565724093097;110.22512974039405;98.9442804002541;32
1121;H;109.11065041755325;111.53401410027327;99.90019571726862;32
1122;C;108.94441758014997;110.000355970315;102.38034181887456;32
1123;H;108.37483894145447;108.7053536169843;100.81803579419906;32
1124;H;109.9925506414553;109.36633664688684;100.64704263158683;32
1125;N;109.20295236819607;111.27622398903286;102.66931350169686;32
1126;C;109.0946646895759;111.8403325670044;103.99707810351514;33
1127;H;109.46580950926544;111.9273424617682;101.9378211016701;32
1128;H;107.75899660616346;108.4709075875019;95.67751352385281;32
1129;H;106.51945462837999;107.24262779250792;95.47465917294501;32
1130;O;104.66739691474028;109.95773048732981;98.7179567528503;32
1131;O;108.72417148361788;109.1483920995818;103.24146372892613;32
1132;C;110.45616764547825;112.09386012274703;104.65154439450602;33
1133;H;108.5395114088181;112.77875065782389;103.91023637815854;33
1134;H;108.51356604514268;111.14199671858577;104.60280424184317;33
1135;C;111.03835439239346;110.83894230734832;105.29734522353252;33
1136;H;111.14468748439147;112.47038496528833;103.89448945169714;33
1137;H;110.33493178870135;112.8607613784026;105.41782959896643;33
1138;C;112.29412754874411;111.14756645609079;106.1098127460586;33
1139;H;110.28721088517047;110.3999737680888;105.95613624716258;33
1140;H;111.26641460702488;110.09287641927527;104.53684973077785;33
1141;C;112.74773193934875;109.92779570031968;106.90558856402531;33
1142;H;113.09663365822496;111.47514805851652;105.44839482572227;33
1143;H;112.08163423726958;111.96694985154436;106.79867084309213;33
1144;C;113.85226554568084;110.26434943752858;107.90534388030785;33
1145;H;111.90125714794912;109.52089461142513;107.46350428063596;33
1146;H;113.09737410069947;109.14819709186268;106.22568058898811;33
1147;N;114.14124063938472;109.11055088868775;108.7305509817207;33
1148;H;114.77295708985835;110.56203849524884;107.40190945615966;33
1149;H;113.52803123772186;111.08468012597008;108.55208039155417;33
1150;C;115.3176620561409;108.48351852833463;108.76372359552285;33
1151;H;113.321267100867;108.66537502254941;109.13386204805569;33
